College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
Roseman University of Health Sciences,,,87693,0.3375,,10,,0.6942,,10601
Rosemont College,1084,0.8002,41503,0.3746556474,0.8082,12,22806,0.6989999999999998,0.9734299517,5812
Rowan University,1181,0.8377,50231,0.3508263759,0.8251,17,22978,0.3471000000000001,0.9000156715,9222
Rush University,,,70482,0.472972973,,5,,0.7543,,11023
Rust College,,0.376,23744,0.4599659284,0.5455,6,8392,0.9974,0.8618705036,3915
Sacred Heart University,,0.6612,59090,0.22906641,0.8571,14,43871,0.248,0.964673913,9703
Saginaw Valley State University,1069,0.7781,41216,0.3286713287,0.7333,16,15335,0.2405,0.9179197995,8302
Saint Anselm College,1234,0.7759,58952,0.130806846,0.8887,11,33898,0.1393,,8765
Saint Anthony College of Nursing,,1.0,66896,0.4375,0.5,6,,0.31220000000000003,,7525
Saint Augustine's University,,0.7476,29066,0.3453689168,0.7664,12,18047,1.0,0.9543010753,4791
Saint Elizabeth University,955,1.0,58529,,0.8125,8,29030,0.17300000000000001,,
Saint Francis Medical Center College of Nursing,,,60816,0.3684210526,,7,,0.09190000000000001,0.9405405405,7355
Saint Francis University,1066,0.994,42941,0.3594339623,0.7424,11,17773,0.3301,0.9183673469,6942
Saint Joseph's College of Maine,1125,0.8058,54603,0.3053097345,0.711,8,29195,0.16060000000000002,0.9668049793,6127
Saint Joseph's University,1162,0.6316,41142,0.3781388479,0.7176,11,17062,0.22169999999999998,0.9419087137,7168
Saint Leo University,1063,0.7066,41433,0.4910432034,0.5686,16,17321,0.6941,0.7745715726,8112
Saint Louis University,1132,0.9154,51858,0.2958735733,0.8159,13,24450,0.3584,0.9151172191,9172
Saint Martin's University,1103,0.7162,52460,0.340952381,0.7951,11,21312,0.5969000000000001,0.7798960139,6626
Saint Mary-of-the-Woods College,1048,0.7032,36096,0.3964646465,0.7365,10,15385,0.1953,0.8873239437,5246
Saint Mary's College,1048,0.7032,36096,0.3964646465,0.7365,10,15385,0.1953,0.8873239437,5246
Saint Mary's College of California,,0.7008,60517,0.2552083333,0.8825,9,22620,0.6078999999999999,0.9331337325,10671
Saint Mary's University of Minnesota,,0.9779,50163,0.2615384615,0.795,18,20556,0.3421,0.9095744681,6820
Saint Michael's College,,0.8588,44204,0.1171875,0.8583,12,26403,0.16960000000000003,0.9787878788,8230
